ID,Name,Category,URL
152,Sword_Parry_Backward_2,Blocking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Sword_Parry_Backward_2.gif
153,Sword_Parry_Backward_3,Blocking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Sword_Parry_Backward_3.gif
154,Sword_Parry_Backward_4,Blocking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Sword_Parry_Backward_4.gif
155,Sword_Parry_Backward_5,Blocking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Sword_Parry_Backward_5.gif
156,Stand_Dodge,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Stand_Dodge.gif
157,Stand_Dodge_1,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Stand_Dodge_1.gif
158,Roll_Dodge,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Roll_Dodge.gif
159,Roll_Dodge_1,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Roll_Dodge_1.gif
160,Roll_Dodge_2,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Roll_Dodge_2.gif
161,Roll_Dodge_3,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Roll_Dodge_3.gif
162,Stand_Dodge_2,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Stand_Dodge_2.gif
163,Roll_Dodge_4,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Roll_Dodge_4.gif
164,Stand_Dodge_3,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Stand_Dodge_3.gif
165,Kneeling_Reload,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Kneeling_Reload.gif
166,Running_Reload,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Running_Reload.gif
167,Slow_Walk_Reload,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Slow_Walk_Reload.gif
168,Prone_Reload,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Prone_Reload.gif
169,Forward_Reload_Subtle,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Forward_Reload_Subtle.gif
170,Standing_Reload,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Standing_Reload.gif
171,Hit_Reaction_to_Waist,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Hit_Reaction_to_Waist.gif
172,Electrocution_Reaction,GettingHit,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Electrocution_Reaction.gif
173,Slap_Reaction,GettingHit,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Slap_Reaction.gif
174,Face_Punch_Reaction,GettingHit,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Face_Punch_Reaction.gif
175,Face_Punch_Reaction_1,GettingHit,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Face_Punch_Reaction_1.gif
176,Face_Punch_Reaction_2,GettingHit,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Face_Punch_Reaction_2.gif
177,Gunshot_Reaction,GettingHit,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Gunshot_Reaction.gif
178,Hit_Reaction,GettingHit,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Hit_Reaction.gif
179,Hit_Reaction_1,GettingHit,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Hit_Reaction_1.gif
180,Shot_in_the_Back_and_Fall,GettingHit,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Shot_in_the_Back_and_Fall.gif
181,Electrocuted_Fall,Dying,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Electrocuted_Fall.gif
182,Shot_and_Blown_Back,Dying,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Shot_and_Blown_Back.gif
